Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
KRUS,Kura Sushi USA Inc,Consumer Cyclical,55.15,0,,,0,480.445788,0,N/A,2.39818202,85.62,29.26
EBF,Ennis Inc.,Industrials,18.47,0.051964661,0.111111111,0.045639553,0.959787295,480.5655,17.50566443,0.914083138,0.510110044,21.31,17.2
BLI,Berkeley Lights Inc,N/A,7.11,0,,,0,480.999954,0,N/A,2.111004358,53.42,5.08
CTLP,Cantaloupe Inc,N/A,6.77,0,,,0,481.244313,0,N/A,1.60126454,13.25,6.49
RMR,RMR Group Inc (The),Real Estate,31.1,0.044445862,0,0.087348395,1.382266322,481.583842,0,N/A,0.781312896,39.04,27.81
AMBC,AMBAC Financial Group Inc.,Financial Services,10.4,0,,,0,481.904862,0,N/A,0.812364838,17.86,8.14
EBTC,"Enterprise Bancorp, Inc.",Financial Services,40.12,0.020438684,,,0.754508127,482.530662,0,N/A,0.580751642,46.24,31.7
TRC,Tejon Ranch Co.,Industrials,18.26,0,,,0,482.547927,90.22960481,0,0.74606283,21.69,14.79
ICPT,Intercept Pharmaceuticals Inc,Healthcare,16.27,0,,,0,483.098472,N/A,0,1.250808426,25,11.6
ANIP,ANI Pharmaceuticals Inc,Healthcare,28.11,0,,,0,485.212838,N/A,0,0.741796819,60.23,24.41
FDMT,4D Molecular Therapeutics Inc,N/A,15.12,0,,,0,487.43094,0,N/A,1.388872309,43.1,12.84
FSBC,Five Star Bancorp,Financial Services,28.3,0.015817148,,,0.44762528,488.077337,0,N/A,,33.81,21.67
RAD,Rite Aid Corp.,Healthcare,8.75,0,,,0,488.094023,N/A,0,1.458416722,23.02,8.41
FTCI,FTC Solar Inc,N/A,4.93,0,,,0,488.781818,0,N/A,,15.46,3.3
REPX,Riley Exploration Permian Inc.,N/A,25.08,0.024553294,,,0.615796615,489.43457,0,N/A,1.161575483,51.88,15.32
OSUR,Orasure Technologies Inc.,Healthcare,6.78,0,,,0,490.22649,N/A,0,0.632074637,13.57,6.51
KNTE,Kinnate Biopharma Inc,N/A,11.26,0,,,0,494.868938,0,N/A,1.720974282,32.35,7.43
BFST,Business First Bancshares Inc.,Financial Services,24.33,0.019597337,,,0.476803218,496.340491,0,N/A,0.695517722,29.37,21.18
AKRO,Akero Therapeutics Inc,Healthcare,14.19,0,,,0,496.833548,0,N/A,1.187714187,32.49,12.72
RUBY,Rubius Therapeutics Inc,Healthcare,5.51,0,,,0,496.928309,0,N/A,1.903908446,29.94,4.01
DYN,Dyne Therapeutics Inc,N/A,9.64,0,,,0,497.781654,0,N/A,1.464345144,22.92,6.39
UFPT,UFP Technologies Inc.,Consumer Cyclical,66.17,0,,,0,500.344124,0,N/A,0.904428807,76.01,49.02
VITL,Vital Farms Inc,N/A,12.36,0,,,0,500.969797,0,N/A,1.186844171,26.09,11.06
KE,Kimball Electronics Inc,Industrials,19.99,0,,,0,501.922733,0,N/A,0.823228206,30.61,16.8
MVBF,MVB Financial Corp.,Financial Services,41.5,0.013901017,0.7,0.467242109,0.576892185,501.997446,0,N/A,0.60656912,45.29,32.65
DNMR,Danimer Scientific Inc,N/A,5.86,0,,,0,502.390739,0,N/A,2.670538061,40.16,3.09
FOSL,Fossil Group Inc,Consumer Cyclical,9.64,0,,,0,502.684914,19.76428852,0,2.143863339,20,7.83
ALTO,Alto Ingredients Inc,N/A,6.82,0,,,0,502.814846,11.3715286,0,1.28154562,7.27,4.39
CASS,Cass Information Systems Inc,Industrials,36.91,0.029503836,0.037037037,0.040126207,1.08898657,504.191117,17.62659477,0.544493285,0.580810136,47.26,35.96
ECOM,ChannelAdvisor Corp,Technology,16.57,0,,,0,504.582415,10.68690915,0,1.435844421,29.42,15.6
RMNI,Rimini Street Inc.,Technology,5.8,0,,,0,506.5952,0,N/A,1.40901868,11.52,4.19
VLDR,Velodyne Lidar Inc,N/A,2.56,0,,,0,507.242368,0,N/A,1.889540612,16.11,1.96
ATHA,Athira Pharma Inc,N/A,13.5,0,,,0,507.924783,0,N/A,1.330805068,23.64,8.51
DXPE,"DXP Enterprises, Inc.",Industrials,27.09,0,,,0,507.953673,38.86409126,0,0.832289869,36.26,23.33
CPSI,Computer Programs & Systems Inc,Healthcare,34.45,0,,,0,509.340012,28.26369301,0,0.492365017,37.62,26.11
JYNT,Joint Corp,Healthcare,35.39,0,,,0,510.088067,0,N/A,1.958620465,111.06,29.84
CHUY,Chuy`s Holdings Inc,Consumer Cyclical,27,0,,,0,512.765397,0,N/A,1.277514587,49.99,22.6
CLSK,Cleanspark Inc,Technology,12.37,0,,,0,512.972507,0,N/A,2.963814675,23.6,5.47
RIGL,Rigel Pharmaceuticals,Healthcare,2.99,0,,,0,513.3338,N/A,0,1.201960906,4.62,2.19
KODK,Eastman Kodak Co.,Industrials,6.55,0,,,0,515.742441,0,N/A,1.587056688,11.26,3.46
ESGC,Eros STX Global Corporation,N/A,2.79,0,,,0,517.036782,0,N/A,0.837176743,37.2,2.7
SIGA,SIGA Technologies Inc,Healthcare,7.09,0,,,0,517.782005,7.455382208,0,0.738957928,9.82,5.66
AROW,Arrow Financial Corp.,Financial Services,32.42,0.03331277,0.038461538,0.015511278,1.023458478,518.738804,10.40453304,0.330147896,0.583832053,37.66,31.54
CRMT,"Americas Car Mart, Inc.",Consumer Cyclical,80.56,0,,,0,518.779251,4.712447894,0,1.145942689,177.45,80.29
YMAB,Y-Mabs Therapeutics Inc,Healthcare,11.88,0,,,0,519.316784,0,N/A,1.62658258,39.82,6.5
MOFG,MidWestOne Financial Group Inc,Financial Services,33.1,0.027263144,0.055555556,0.075563198,0.902410052,519.475538,7.475974117,0.206501156,0.688133584,34.14,26.47
LEGH,Legacy Housing Corp,Consumer Cyclical,21.46,0,,,0,519.537072,0,N/A,1.030591419,28.84,15.28
TPIC,TPI Composites Inc,Industrials,14.06,0,,,0,522.750856,N/A,0,1.262781517,60,9.23
RMAX,RE/MAX Holdings Inc,Real Estate,27.73,0.032809534,0,0.050246073,0.909808373,523.847957,0,N/A,0.883516873,40.63,25.85
TTI,"Tetra Technologies, Inc.",Energy,4.11,0,,,0,524.621632,5.076999915,0,0.85687571,4.49,2.32
CURO,CURO Group Holdings Corp,Financial Services,13.05,0.033361238,,,0.435364159,525.159666,8.850906158,0.315481274,1.403140084,19.94,11.53
BVH,Bluegreen Vacations Holding Corporation,N/A,29.57,0,,,0,526.197174,0,N/A,1.468790136,36.1,15.85
HBT,HBT Financial Inc,Financial Services,18.18,0.033144795,,,0.60257238,527.026674,0,N/A,0.714184933,19.96,13.96
MDXG,Mimedx Group Inc,Healthcare,4.71,0,,,0,529.213721,N/A,0,1.929737342,15.99,4.12
HAYN,Haynes International Inc.,Industrials,42.6,0.02048342,0,0,0.872593707,530.569709,132.5430199,2.73026817,1.042789175,46.56,26.79
DBD,Diebold Nixdorf Inc,Technology,6.73,0,,,0,531.181631,N/A,0,1.367116458,15.64,6.67
PNTG,Pennant Group Inc,Healthcare,18.63,0,,,0,531.505628,0,N/A,1.621203511,46.9,11.38
MTW,"Manitowoc Co., Inc.",Industrials,15.08,0,,,0,531.75948,48.34177093,0,1.626423079,28.33,14.73
OPY,Oppenheimer Holdings Inc,Financial Services,43.58,0.012806766,0,0.063995313,0.558118861,536.995941,3.378097817,0.047702467,1.072853795,53.99,39.46
EQBK,Equity Bancshares Inc,Financial Services,32.31,0.007410243,,,0.239424958,537.40118,0,N/A,0.618656177,35.83,27.08
CIR,Circor International Inc,Industrials,26.62,0,,,0,539.267827,N/A,0,1.506543716,39.48,23.22
MGNX,Macrogenics Inc,Healthcare,8.81,0,,,0,539.682989,0,N/A,1.157391629,36.48,7.91
THFF,First Financial Corp. - Indiana,Financial Services,43.28,0.024491682,,,1.05381543,539.741677,10.18630376,0.262143142,0.421190543,47.1,37.26
ENDP,Endo International plc,Healthcare,2.31,0,,,0,539.780005,N/A,0,1.707459049,7.69,1.94
THR,Thermon Group Holdings Inc,Industrials,16.2,0,,,0,540.275038,45.58898306,0,0.873744486,20.35,15.59
ULH,Universal Logistics Holdings Inc,Industrials,20.15,0.020675187,0,0.084471771,0.416605012,540.707256,7.333314202,0.152045625,0.83545407,26.61,15.77
PETS,"Petmed Express, Inc.",Healthcare,25.8,0.046511628,0.071428571,0.084471771,1.180235543,541.246048,24.77552175,1.092810688,0.464404248,45.19,21.37
NPK,"National Presto Industries, Inc.",Industrials,76.95,0.012995452,,,1,541.93892,21.12492866,0.275482094,0.551216299,106.6,75.49
DCPH,Deciphera Pharmaceuticals Inc,Healthcare,9.27,0,,,0,542.780488,0,N/A,1.189862429,48.27,6.51
APPH,AppHarvest Inc,N/A,5.375,0,,,0,543.605188,0,N/A,0.821907065,20.22,2.62
FRPH,FRP Holdings Inc,Real Estate,57.8,0,,,0,545.169253,17.99238459,0,0.736340737,65,47.68
BFC,Bank First Corp,Financial Services,71.99,0.011891438,0.047619048,0.065762757,0.856064622,546.037167,0,N/A,0.396074012,73.86,66.02
WTI,W & T Offshore Inc,Energy,3.82,0,,,0,546.306314,N/A,0,0.570057422,6.68,2.64
UPLD,Upland Software Inc,Technology,17.61,0,,,0,548.243906,0,N/A,1.362737718,53,15.08
TPC,Tutor Perini Corp,Industrials,10.8,0,,,0,551.833625,6.003085394,0,1.069090539,19.82,9.19
SRG,Seritage Growth Properties,Real Estate,12.66,0,,,0,552.385728,N/A,0,1.667375987,20.09,8.12
GLT,Glatfelter Corporation,Basic Materials,12.38,0.044578827,0.037037037,0.014931979,0.551885875,552.490976,79.64407893,3.574390384,0.843256491,18.54,12.28
POWW,AMMO Inc,Consumer Cyclical,4.8,0,,,0,554.526739,0,N/A,1.412342891,10.37,3.95
KPTI,Karyopharm Therapeutics Inc,Healthcare,7.37,0,,,0,556.78506,0,N/A,0.825421326,14.73,4.42
IDEX,Ideanomics Inc,Technology,1.12,0,,,0,557.402434,0,N/A,1.70054639,3.61,0.8012
RGP,Resources Connection Inc,Industrials,17.14,0.032276127,0,0.049414523,0.553212824,557.516379,10.89644052,0.359229107,0.986524168,19.99,12.95
PLBY,PLBY Group Inc,N/A,13.09,0,,,0,557.815964,0,N/A,3.024466494,63.04,12.4
BMRC,Bank of Marin Bancorp,Financial Services,35.07,0.026828115,0.043478261,-0.023281316,0.940861981,559.003841,16.82327679,0.409070426,0.542616391,39.39,30.08
GRWG,GrowGeneration Corp,Consumer Cyclical,9.21,0,,,0,559.082855,43.72617351,0,2.23150827,57.1,6.74
AMAL,Amalgamated Financial Corp,Financial Services,17.97,0.017682139,,,0.317748044,559.138401,0,N/A,0.571960805,19.81,13.36
LE,"Lands` End, Inc.",Consumer Cyclical,16.92,0,,,0,560.644488,0,N/A,1.747512625,44.4,14.73
MBWM,Mercantile Bank Corp.,Financial Services,35.42,0.033445648,0.068965517,0.114853593,1.184644861,561.102388,9.506826181,0.321041968,0.668668879,39.68,27.75
PROS,Prosight Global Inc,Financial Services,12.85,0,,,0,562.564211,0,N/A,0.219752999,14.25,7.97
IRMD,Iradimed Corp,Healthcare,44.84,0,,,0,563.151255,0,N/A,1.30243331,55.92,23.16
SRI,Stoneridge Inc.,Consumer Cyclical,20.76,0,,,0,564.550284,165.7516982,0,0.828724179,35.27,13.64
IEA,Infrastructure and Energy Alternatives Inc,Industrials,11.85,0,,,0,569.124204,N/A,0,1.149590538,15.71,7.57
GRPN,Groupon Inc,Communication Services,19.23,0,,,0,574.16509,4.838415497,0,1.242805163,55.37,16.37
BBSI,Barrett Business Services Inc.,Industrials,77.47,0.015398159,0,0.037137289,1.192895396,575.022857,15.1007867,0.238579079,0.672491497,86.14,57.53
ORC,Orchid Island Capital Inc,Real Estate,3.25,0.166153846,-0.307692308,-0.070905624,0.684782375,575.227409,N/A,N/A,0.657808638,5.31,3.05
ALBO,Albireo Pharma Inc,Healthcare,29.83,0,,,0,577.565417,N/A,0,0.769015157,37.86,20.3
OSPN,OneSpan Inc,Technology,14.44,0,,,0,577.620577,N/A,0,1.204556513,29.17,11.93
SB,"Safe Bulkers, Inc",Industrials,4.76,0,,,0,579.010394,4.893472897,0,1.124659755,5.38,2.1
RYTM,Rhythm Pharmaceuticals Inc.,Healthcare,11.52,0,,,0,579.798294,0,N/A,1.219946114,23.05,6.02
FMNB,Farmers National Banc Corp.,Financial Services,17.06,0.030143499,0.454545455,0.261914689,0.514248091,580.123833,0,N/A,0.51323225,19.82,14.22
KOP,Koppers Holdings Inc,Basic Materials,27.52,0.00181686,,,0.050000001,581.415948,6.824130847,0.012853471,1.051871511,39.37,26.81
LPG,Dorian LPG Ltd,Energy,14.49,0,,,0,581.613472,0,N/A,0.581677458,15.02,9.94
HIBB,Hibbett Inc,Consumer Cyclical,44.34,0.022409896,,,0.993654806,582.5994,3.342260186,0.088798463,1.811861321,100.78,40.09
RICK,RCI Hospitality Holdings Inc,Consumer Cyclical,61.46,0.002763155,0.25,0.107566343,0.169823527,583.864469,18.6729074,0.049367304,1.859613737,94.25,55.22
HRTX,Heron Therapeutics Inc,Healthcare,5.72,0,,,0,584.244524,0,N/A,1.302086653,18.99,4.58
BTAI,BioXcel Therapeutics Inc,Healthcare,20.91,0,,,0,585.069014,0,N/A,1.495521376,39,14.32
VSEC,VSE Corp.,Industrials,46.09,0.008007127,0.111111111,0.107566343,0.369048469,587.087921,73.69921181,0.585233855,1.076295784,65.3,39.3
CHS,"Chico`s Fas, Inc.",Consumer Cyclical,4.8,0,,,0,588.044702,12.82792047,0,2.027557618,7.29,2.67
REX,REX American Resources Corp,Energy,99.6,0,,,0,589.66696,17.10121399,0,0.83164086,113.43,72.06
YORW,York Water Co.,Utilities,44.97,0.017344897,0.040021345,0.039991681,0.759761808,589.792208,34.7263429,0.58443216,0.416943816,53.09,41.91
CCB,Coastal Financial Corp,Financial Services,45.75,0,,,0,591.016022,0,N/A,0.980409653,54.41,25.5
BOOM,DMC Global Inc,Energy,30.5,0,,,0,593.453201,N/A,0,1.018768269,63.5,26.07
MASS,908 Devices Inc,N/A,19.01,0,,,0,593.749348,0,N/A,1.707710228,55.83,12.6
DX,"Dynex Capital, Inc.",Real Estate,16.2,0.096296296,0,0,1.495860481,593.986041,6.531266601,0.53807931,0.544447442,19.02,14.51
CATC,Cambridge Bancorp,Financial Services,85,0.028763728,0.163636364,0.068278354,2.444916908,595.12648,0,N/A,0.607716005,96.88,77.27
MCBS,MetroCity Bankshares Inc,Financial Services,23.48,0.021550458,0.5,0.084471771,0.506004742,597.923741,0,N/A,0.918264977,29.65,13.67
GPMT,Granite Point Mortgage Trust Inc,Real Estate,11.12,0.087126564,,,0.968847386,598.874016,8.864328245,0.787680802,0.828212759,14.71,10.43
AVIR,Atea Pharmaceuticals Inc,N/A,7.22,0,,,0,600.888767,0,N/A,0.937420157,62.01,5.38
BLBD,Blue Bird Corp,Consumer Cyclical,18.82,0,,,0,601.774657,0,N/A,1.381773573,28.68,13.79
DHIL,"Diamond Hill Investment Group, Inc.",Financial Services,187.3,0.023878517,,,4.472446315,603.319522,8.130924128,0.191621522,0.904563927,233.1,154.86
QUOT,Quotient Technology Inc,Communication Services,6.38,0,,,0,605.599093,N/A,0,1.682189423,17.93,5.09
LQDT,Liquidity Services Inc,Consumer Cyclical,17.12,0,,,0,607.606879,12.14315164,0,1.494274556,30,14.64
HSTM,Healthstream Inc,Healthcare,19.92,0,,,0,608.692392,104.1389893,0,0.724364586,31.11,18.51
FSP,Franklin Street Properties Corp.,Real Estate,5.9,0.057255812,0,-0.138812373,0.337809289,609.393188,0,N/A,0.788499624,6.18,4.05
TRNS,Transcat Inc,Industrials,81.14,0,,,0,610.07527,0,N/A,0.923256323,101.05,46.03
TH,Target Hospitality Corp,Energy,6,0,,,0,611.716098,0,N/A,0.418307862,6.35,2.23
TRST,Trustco Bank Corp.,Financial Services,31.93,0.043845913,4.137614679,0.397654238,1.359868437,613.694249,9.975686353,0.426291046,0.462974184,39.81,29.16
IIIV,i3 Verticals Inc,Technology,27.86,0,,,0,614.822142,N/A,0,1.727494929,34.51,17.8
MSGN,MSG Networks Inc,Communication Services,14.17,0,,,0,615.8265,3.458980434,0,0.546654455,20.9,8.57
MGTX,MeiraGTx Holdings plc,Healthcare,13.85,0,,,0,618.784954,0,N/A,1.36066586,24.89,11.6
TPB,Turning Point Brands Inc,Consumer Defensive,34.01,0.006599238,,,0.224440087,621.326649,0,N/A,0.568734721,54.24,28.98
AAN,Aarons Company Inc (The),Industrials,20.08,0.020405305,,,0.409738516,622.044746,0,N/A,1.24049968,36.89,18.16
CRAI,CRA International Inc.,Industrials,84.26,0.013465124,0.192307692,0.172321505,1.134571342,623.54161,15.02365098,0.208178228,1.037349276,115.91,70.18
EOLS,Evolus Inc,Healthcare,11.22,0,,,0,624.891751,N/A,0,1.245961557,14.5,5.06
ATNI,ATN International Inc,Communication Services,39.88,0.012736948,,,0.507949479,625.686373,N/A,N/A,0.406293243,50.92,32.07
DCO,Ducommun Inc.,Industrials,52.39,0,,,0,627.23236,4.62779158,0,0.907801054,65.4,40.82
AMRX,Amneal Pharmaceuticals Inc,Healthcare,4.17,0,,,0,628.165343,59.12700895,0,0.782680715,6.88,3.86
ONTF,ON24 Inc,N/A,13.15,0,,,0,628.280003,0,N/A,1.164621228,48.6,11.2
EGRX,Eagle Pharmaceuticals Inc,Healthcare,49.49,0,,,0,628.379528,0,N/A,0.307665813,58.25,36.48
NRIX,Nurix Therapeutics Inc,N/A,14.01,0,,,0,628.406165,0,N/A,1.278253558,37.42,12.54
AVD,American Vanguard Corp.,Basic Materials,20.32,0.004175525,,,0.084846677,628.799108,33.83004832,0.138819826,0.523765717,21.2,13.8
SGH,SMART Global Holdings Inc,Technology,25.83,0,,,0,629.668836,16.01803195,0,1.713369753,37.25,20.3
CMO,Capstead Mortgage Corp.,Real Estate,6.5,0.077874538,,,0.506184495,629.69114,9.350645065,0.721368812,0.689606618,6.95,4.64
AVAH,Aveanna Healthcare Holdings Inc,N/A,3.41,0,,,0,629.937034,0,N/A,,13,3.38
DSKE,Daseke Inc,Industrials,10.07,0,,,0,630.040959,12.3537443,0,1.208394411,13.17,5.61
FHTX,Foghorn Therapeutics Inc,N/A,15.23,0,,,0,630.856512,0,N/A,0.940376069,24.34,8.01
CMBM,Cambium Networks Corp,Technology,23.64,0,,,0,632.116626,0,N/A,1.782283313,66.4,18.95
VNDA,Vanda Pharmaceuticals Inc,Healthcare,11.31,0,,,0,632.30653,19.07295276,0,0.693151088,21.86,10.6
AGEN,Agenus Inc,Healthcare,2.46,0,,,0,632.598496,N/A,0,1.352950257,6.79,2.34
PGC,Peapack-Gladstone Financial Corp.,Financial Services,34.75,0.00574357,0,0,0.199589042,632.760665,11.17517334,0.068119127,0.762421099,38.6,28.77
QNST,QuinStreet Inc,Communication Services,11.6,0,,,0,632.819846,107.7506974,0,0.919423305,21.26,10.15
SRDX,"Surmodics, Inc.",Healthcare,45.33,0,,,0,633.53208,372.8852737,0,1.194890437,62.27,36.24
VXRT,Vaxart Inc,Healthcare,5.04,0,,,0,634.084381,N/A,0,1.449821917,11.11,3.91
MOV,"Movado Group, Inc.",Consumer Cyclical,39.05,0.021641823,,,0.845113172,634.123851,6.922825046,0.218375497,1.570028052,48.37,26.99
TA,TravelCenters of America Inc,Consumer Cyclical,42.96,0,,,0,637.463807,0,N/A,1.930805082,64.58,24.1
AGX,"Argan, Inc.",Industrials,40.59,0.024415446,,,0.991022954,637.8615,13.99432864,0.347727352,0.45548588,54.75,36.36
FPI,Farmland Partners Inc,Real Estate,13.75,0.014461466,0,-0.17073762,0.198845156,637.970396,0,N/A,0.490399022,14.6,10.58
VALU,"Value Line, Inc.",Financial Services,67,0.013026747,0.047619048,0.040950397,0.872792037,637.984921,23.5479615,0.30840708,,71.84,28.1
TITN,Titan Machinery Inc,Industrials,28.26,0,,,0,638.419286,14.59310794,0,1.394028518,38.58,23.83
VERI,Veritone Inc,Technology,18.28,0,,,0,640.900639,N/A,0,2.447104959,37.14,13.06
IMVT,Immunovant Inc,Healthcare,5.51,0,,,0,641.340456,0,N/A,1.36058485,17.2,4.98
MSBI,Midland States Bancorp Inc,Financial Services,28.86,0.03855709,0.035714286,0.077143588,1.112757605,643.260886,7.910533914,0.308243104,0.654336355,30.48,22.04
GCI,Gannett Co Inc.,Communication Services,4.51,0,,,0,643.934237,0,N/A,1.390271311,7.05,3.66
OSBC,Old Second Bancorporation Inc.,Financial Services,14.51,0.013705042,4,0.379729661,0.198860155,645.129763,32.18567965,0.304953465,0.573041344,15.48,11.08
CVGW,"Calavo Growers, Inc",Consumer Defensive,36.45,0.031550068,,,1.149999976,645.759645,N/A,N/A,0.439981999,78.74,32.34
FC,Franklin Covey Co.,Industrials,45.22,0,,,0,646.517168,35.27675933,0,1.242542423,52.52,28.79
MCF,Contango Oil & Gas Company,Energy,3.22,0,,,0,648.310186,N/A,0,1.578888684,6.94,1.59
OFIX,Orthofix Medical Inc,Healthcare,32.7,0,,,0,649.191498,N/A,0,0.74932162,45.96,28.65
CARA,Cara Therapeutics Inc,Healthcare,12.15,0,,,0,649.791866,N/A,0,0.829939547,29.65,9.63
MITK,Mitek Systems Inc,Technology,14.67,0,,,0,649.845543,72.73033493,0,1.205829803,23.29,13.59
OLP,"One Liberty Properties, Inc.",Real Estate,30.79,0.058460539,0,0.009133937,1.763013369,650.313619,17.32737256,0.952980199,0.875451429,36.07,21.04
RAPT,RAPT Therapeutics Inc,Healthcare,21.99,0,,,0,650.317263,0,N/A,1.628172242,43.26,16.1
WSR,Whitestone REIT,Real Estate,13.25,0.036226415,0.116289454,0.027066087,0.387115089,651.182433,0,N/A,0.61753092,13.55,7.34
MCRB,Seres Therapeutics Inc,Healthcare,7.12,0,,,0,655.1423,N/A,0,1.034347328,25.06,5.41
USLM,United States Lime & Minerals Inc.,Basic Materials,116.04,0.005848308,0.25,0.081780741,0.678637717,657.733867,17.75499707,0.103767235,0.792056215,153.18,111.51
OCGN,Ocugen Inc,Healthcare,3.3,0,,,0,658.311004,0,N/A,2.029868086,17.65,2.16
AMSWA,American Software Inc.,Technology,20.84,0.020970221,0,0,0.437019409,661.379553,0,N/A,1.217467907,32.98,18.16
BJRI,BJ`s Restaurant Inc.,Consumer Cyclical,28.3,0,,,0,662.5641,N/A,0,1.369913354,63,24.75
GOSS,Gossamer Bio Inc,Healthcare,8.68,0,,,0,663.821341,0,N/A,1.025055846,14.3,7.04
NP,Neenah Inc,Basic Materials,39.66,0.046982945,0.010638298,0.051231527,1.863343585,665.77242,N/A,N/A,0.844843946,55.8,31.46
NOTV,Inotiv Inc,N/A,26.18,0,,,0,666.526071,0,N/A,1.756144037,60.66,17.4
PLCE,Childrens Place Inc,Consumer Cyclical,49.3,0,,,0,667.967426,3.568754911,0,1.971361034,113.5,48
RIDE,Lordstown Motors Corp.,N/A,3.41,0,,,0,669.971849,0,N/A,1.572913482,15.8,1.99
CNSL,Consolidated Communications Holdings Inc,Communication Services,5.9,0,,,0,670.315791,N/A,0,0.918308461,9.89,4.51
CLDT,Chatham Lodging Trust,Real Estate,13.79,0,0,0,0,673.008332,N/A,0,1.051567535,15.12,11
OPRX,OptimizeRx Corp,Healthcare,37.71,0,,,0,674.082654,0,N/A,1.981146489,99.18,34.31
HYFM,Hydrofarm Holdings Group Inc,N/A,15.15,0,,,0,674.467425,0,N/A,1.975272553,70.96,12.51
REAL,Therealreal Inc,Consumer Cyclical,7.26,0,,,0,675.582117,N/A,0,2.686823061,25.91,5.78
TLS,Telos Corp,N/A,9.97,0,,,0,676.638975,0,N/A,1.346963627,37.46,8.51
HTBK,Heritage Commerce Corp.,Financial Services,11.25,0.045493933,0,0.053873952,0.511806748,678.037883,14.21463066,0.651153623,0.917031039,12.81,10.22
COLL,Collegium Pharmaceutical Inc,Healthcare,20.36,0,,,0,679.571764,9.502240917,0,0.542021887,25.66,17.07
FFIC,Flushing Financial Corp.,Financial Services,22.35,0.037516325,0.047619048,0.040950397,0.838489853,681.262486,8.32910501,0.323741256,0.685775778,25.7,19.26
PRCH,Porch Group Inc,N/A,6.945,0,,,0,681.549929,0,N/A,2.218366416,27.5,5.83
MAX,MediaAlpha Inc,N/A,16.55,0,,,0,684.181932,0,N/A,1.728026369,47,10.22
ANAB,AnaptysBio Inc,Healthcare,24.74,0,,,0,684.615869,N/A,0,0.98744064,37.89,19.91
ALXO,Alx Oncology Holdings Inc,N/A,16.9,0,,,0,685.921432,0,N/A,1.77705331,81.19,13.22
LBC,Luther Burbank Corp,Financial Services,13.29,0.031057971,,,0.412760431,686.413854,0,N/A,0.561430742,15.1,10.59
